name,year,population,gdp_percap,life_exp,region,oecd,lat,long,income2017,Year-category,TotalGDP
Burundi,1800,899097,418,31.5,africa,FALSE,-3.5,30,low,1800,375822546
Rwanda,1800,928368,431,31.8,africa,FALSE,-2,30,low,1800,400126608
South Sudan,1800,1027378,507,26.67,africa,FALSE,7.5,30,low,1800,520880646
Burundi,1810,899097,422,31.5,africa,FALSE,-3.5,30,low,1810,379418934
Rwanda,1810,928368,437,31.8,africa,FALSE,-2,30,low,1810,405696816
South Sudan,1810,1041076,508,26.67,africa,FALSE,7.5,30,low,1810,528866608
Burundi,1820,917804,426,31.5,africa,FALSE,-3.5,30,low,1820,390984504
Rwanda,1820,943716,442,31.8,africa,FALSE,-2,30,low,1820,417122472
South Sudan,1820,1063732,509,26.67,africa,FALSE,7.5,30,low,1820,541439588
Burundi,1830,972428,430,31.5,africa,FALSE,-3.5,30,low,1830,418144040
Rwanda,1830,988207,448,31.8,africa,FALSE,-2,30,low,1830,442716736
South Sudan,1830,1103246,534,26.67,africa,FALSE,7.5,30,low,1830,589133364
Burundi,1840,1050588,434,31.5,africa,FALSE,-3.5,30,low,1840,455955192
Rwanda,1840,1051167,453,31.8,africa,FALSE,-2,30,low,1840,476178651
South Sudan,1840,1153401,560,26.67,africa,FALSE,7.5,30,low,1840,645904560
Burundi,1850,1135030,438,31.5,africa,FALSE,-3.5,30,low,1850,497143140
Rwanda,1850,1118138,459,31.8,africa,FALSE,-2,30,low,1850,513225342
South Sudan,1850,1205835,588,26.67,africa,FALSE,7.5,30,low,1850,709030980
Burundi,1860,1214527,442,31.5,africa,FALSE,-3.5,30,low,1860,536820934
Rwanda,1860,1197896,465,31.8,africa,FALSE,-2,30,low,1860,557021640
South Sudan,1860,1329906,617,26.67,africa,FALSE,7.5,30,low,1860,820552002
Burundi,1870,1299470,446,31.5,africa,FALSE,-3.5,30,low,1870,579563620
Rwanda,1870,1283278,471,31.8,africa,FALSE,-2,30,low,1870,604423938
South Sudan,1870,1462765,648,26.67,africa,FALSE,7.5,30,low,1870,947871720
Burundi,1880,1389697,450,31.56,africa,FALSE,-3.5,30,low,1880,625363650
Rwanda,1880,1374345,477,31.96,africa,FALSE,-2,30,low,1880,655562565
South Sudan,1880,1604755,680,27.66,africa,FALSE,7.5,30,low,1880,1091233400
Burundi,1890,1485984,454,31.62,africa,FALSE,-3.5,30,low,1890,674636736
Rwanda,1890,1471765,483,32.11,africa,FALSE,-2,30,low,1890,710862495
South Sudan,1890,1756589,713,28.65,africa,FALSE,7.5,30,low,1890,1252447957
Burundi,1900,1589451,459,31.69,africa,FALSE,-3.5,30,low,1900,729558009
Rwanda,1900,1576434,489,25.37,africa,FALSE,-2,30,low,1900,770876226
South Sudan,1900,1919153,748,29.65,africa,FALSE,7.5,30,low,1900,1435526444
Burundi,1910,1699544,463,31.75,africa,FALSE,-3.5,30,low,1910,786888872
Rwanda,1910,1688210,495,32.43,africa,FALSE,-2,30,low,1910,835663950
South Sudan,1910,2092703,785,30.64,africa,FALSE,7.5,30,low,1910,1642771855
Burundi,1920,1823649,467,31.81,africa,FALSE,-3.5,30,low,1920,851644083
Rwanda,1920,1803944,502,32.59,africa,FALSE,-2,30,low,1920,905579888
South Sudan,1920,2248071,916,31.63,africa,FALSE,7.5,30,low,1920,2059233036
Burundi,1930,1970227,482,31.87,africa,FALSE,-3.5,30,low,1930,949649414
Rwanda,1930,1918876,510,32.74,africa,FALSE,-2,30,low,1930,978626760
South Sudan,1930,2350271,1168,32.62,africa,FALSE,7.5,30,low,1930,2745116528
Burundi,1940,2128586,497,31.93,africa,FALSE,-3.5,30,low,1940,1057907242
Rwanda,1940,2041131,519,36.76,africa,FALSE,-2,30,low,1940,1059346989
South Sudan,1940,2457116,1486,33.61,africa,FALSE,7.5,30,low,1940,3651274376
Burundi,1950,2308920,513,39.03,africa,FALSE,-3.5,30,low,1950,1184475960
Rwanda,1950,2186185,527,40.97,africa,FALSE,-2,30,low,1950,1152119495
South Sudan,1950,2582929,1886,34.6,africa,FALSE,7.5,30,low,1950,4871404094
Burundi,1960,2786106,645,42.02,africa,FALSE,-3.5,30,low,1960,1797038370
Rwanda,1960,2933428,635,44.16,africa,FALSE,-2,30,low,1960,1862726780
South Sudan,1960,2955152,2448,42.26,africa,FALSE,7.5,30,low,1960,7234212096
Burundi,1970,3455606,802,44.69,africa,FALSE,-3.5,30,low,1970,2771396012
Rwanda,1970,3754541,696,46.6,africa,FALSE,-2,30,low,1970,2613160536
South Sudan,1970,3647709,2206,49.1,africa,FALSE,7.5,30,low,1970,8046846054
Burundi,1980,4116817,914,46.31,africa,FALSE,-3.5,30,low,1980,3762770738
Rwanda,1980,5140716,928,49.92,africa,FALSE,-2,30,low,1980,4770584448
South Sudan,1980,4705224,2398,51.19,africa,FALSE,7.5,30,low,1980,11283127152
Burundi,1990,5415415,1087,47.99,africa,FALSE,-3.5,30,low,1990,5886556105
Rwanda,1990,7235798,865,49.14,africa,FALSE,-2,30,low,1990,6258965270
South Sudan,1990,5768481,1981,51.58,africa,FALSE,7.5,30,low,1990,11427360861
Burundi,2000,6400706,754,47.91,africa,FALSE,-3.5,30,low,2000,4826132324
Rwanda,2000,8025703,785,49.37,africa,FALSE,-2,30,low,2000,6300176855
South Sudan,2000,6700656,2642,54.52,africa,FALSE,7.5,30,low,2000,17703133152
Burundi,2010,8766930,764,57.73,africa,FALSE,-3.5,30,low,2010,6697934520
Rwanda,2010,10246842,1353,64.59,africa,FALSE,-2,30,low,2010,13863977226
South Sudan,2010,10067192,3790,58.13,africa,FALSE,7.5,30,low,2010,38154657680
Benin,1800,636559,597,31,africa,FALSE,9.5,2.25,low,1800,380025723
Burkina Faso,1800,1665421,480,29.2,africa,FALSE,12.5,-1.66667,low,1800,799402080
Central African Republic,1800,479444,424,30,africa,FALSE,7,21,low,1800,203284256
Chad,1800,1432000,418,30.9,africa,FALSE,15,19,low,1800,598576000
Comoros,1800,56346,696,32.1,africa,FALSE,-12.23333,44.44553,low,1800,39216816
"Congo, Dem. Rep.",1800,5163819,485,31.6,africa,FALSE,-2.5,23.5,low,1800,2504452215
Eritrea,1800,205010,532,30.2,africa,FALSE,15,39,low,1800,109065320
Ethiopia,1800,2948990,523,29.7,africa,FALSE,9,39.5,low,1800,1542321770
Gambia,1800,103274,813,28.8,africa,FALSE,13.5,-15.5,low,1800,83961762
Guinea,1800,983959,450,29.5,africa,FALSE,10.83333,-10.66667,low,1800,442781550
Guinea-Bissau,1800,218167,777,32,africa,FALSE,12,-15,low,1800,169515759
Liberia,1800,313543,797,31.1,africa,FALSE,6.5,-9.5,low,1800,249893771
Madagascar,1800,1543133,573,30.5,africa,FALSE,-20,47,low,1800,884215209
Malawi,1800,737000,350,30.3,africa,FALSE,-13.5,34,low,1800,257950000
Mali,1800,1403398,603,26.41,africa,FALSE,18,-2,low,1800,846248994
Mozambique,1800,1982324,390,30.28,africa,FALSE,-18.25,35,low,1800,773106360
Niger,1800,1244861,446,30.8,africa,FALSE,18,9,low,1800,555208006
Senegal,1800,1009886,497,25.2,africa,FALSE,14.5,-14.25,low,1800,501913342
Sierra Leone,1800,794264,734,25.1,africa,FALSE,8.5,-11.5,low,1800,582989776
Somalia,1800,991488,694,29.4,africa,FALSE,6,48,low,1800,688092672
Tanzania,1800,3019768,562,32.2,africa,FALSE,-6,35,low,1800,1697109616
Togo,1800,445985,682,31.3,africa,FALSE,8.66667,1.08333,low,1800,304161770
Uganda,1800,2101397,464,25.3,africa,FALSE,1.25,32.5,low,1800,975048208
Zimbabwe,1800,1085814,869,33.7,africa,FALSE,-19,29.75,low,1800,943572366
Benin,1810,636559,598,31,africa,FALSE,9.5,2.25,low,1810,380662282
Burkina Faso,1810,1665421,480,29.2,africa,FALSE,12.5,-1.66667,low,1810,799402080
Central African Republic,1810,479444,425,30,africa,FALSE,7,21,low,1810,203763700
Chad,1810,1432000,419,30.9,africa,FALSE,15,19,low,1810,600008000
Comoros,1810,56346,703,32.1,africa,FALSE,-12.23333,44.44553,low,1810,39611238
"Congo, Dem. Rep.",1810,5163819,505,31.6,africa,FALSE,-2.5,23.5,low,1810,2607728595
Eritrea,1810,205010,533,30.2,africa,FALSE,15,39,low,1810,109270330
Ethiopia,1810,2948990,523,29.7,africa,FALSE,9,39.5,low,1810,1542321770
Gambia,1810,103274,818,28.8,africa,FALSE,13.5,-15.5,low,1810,84478132
Guinea,1810,983959,451,29.6,africa,FALSE,10.83333,-10.66667,low,1810,443765509
Guinea-Bissau,1810,218167,778,32,africa,FALSE,12,-15,low,1810,169733926
Liberia,1810,313543,798,31.1,africa,FALSE,6.5,-9.5,low,1810,250207314
Madagascar,1810,1612106,574,30.5,africa,FALSE,-20,47,low,1810,925348844
Malawi,1810,737000,350,30.3,africa,FALSE,-13.5,34,low,1810,257950000
Mali,1810,1403398,603,26.41,africa,FALSE,18,-2,low,1810,846248994
Mozambique,1810,2038660,393,30.28,africa,FALSE,-18.25,35,low,1810,801193380
Niger,1810,1244861,447,30.8,africa,FALSE,18,9,low,1810,556452867
Senegal,1810,1009886,498,25.2,africa,FALSE,14.5,-14.25,low,1810,502923228
Sierra Leone,1810,794264,735,25.1,africa,FALSE,8.5,-11.5,low,1810,583784040
Somalia,1810,995738,700,29.4,africa,FALSE,6,48,low,1810,697016600
Tanzania,1810,3019768,563,32.2,africa,FALSE,-6,35,low,1810,1700129384
Togo,1810,445985,683,31.3,africa,FALSE,8.66667,1.08333,low,1810,304607755
Uganda,1810,2101397,464,25.3,africa,FALSE,1.25,32.5,low,1810,975048208
Zimbabwe,1810,1085814,879,33.7,africa,FALSE,-19,29.75,low,1810,954430506
Benin,1820,653348,598,31,africa,FALSE,9.5,2.25,low,1820,390702104
Burkina Faso,1820,1697947,481,29.2,africa,FALSE,12.5,-1.66667,low,1820,816712507
Central African Republic,1820,485538,425,30,africa,FALSE,7,21,low,1820,206353650
Chad,1820,1432000,419,30.9,africa,FALSE,15,19,low,1820,600008000
Comoros,1820,57537,710,32.1,africa,FALSE,-12.23333,44.44553,low,1820,40851270
"Congo, Dem. Rep.",1820,5255223,526,31.6,africa,FALSE,-2.5,23.5,low,1820,2764247298
Eritrea,1820,212440,534,30.2,africa,FALSE,15,39,low,1820,113442960
Ethiopia,1820,3063453,524,29.7,africa,FALSE,9,39.5,low,1820,1605249372
Gambia,1820,105337,823,28.8,africa,FALSE,13.5,-15.5,low,1820,86692351
Guinea,1820,1007384,452,29.71,africa,FALSE,10.83333,-10.66667,low,1820,455337568
Guinea-Bissau,1820,222059,779,32,africa,FALSE,12,-15,low,1820,172983961
Liberia,1820,320479,799,31.1,africa,FALSE,6.5,-9.5,low,1820,256062721
Madagascar,1820,1694950,574,30.5,africa,FALSE,-20,47,low,1820,972901300
Malawi,1820,737000,351,30.3,africa,FALSE,-13.5,34,low,1820,258687000
Mali,1820,1438308,604,26.41,africa,FALSE,18,-2,low,1820,868738032
Mozambique,1820,2129723,395,30.28,africa,FALSE,-18.25,35,low,1820,841240585
Niger,1820,1262280,447,30.8,africa,FALSE,18,9,low,1820,564239160
Senegal,1820,1028060,499,25.2,africa,FALSE,14.5,-14.25,low,1820,513001940
Sierra Leone,1820,808514,736,25.1,africa,FALSE,8.5,-11.5,low,1820,595066304
Somalia,1820,1015714,707,29.4,africa,FALSE,6,48,low,1820,718109798
Tanzania,1820,3048053,564,32.2,africa,FALSE,-6,35,low,1820,1719101892
Togo,1820,456556,684,31.3,africa,FALSE,8.66667,1.08333,low,1820,312284304
Uganda,1820,2119892,465,25.3,africa,FALSE,1.25,32.5,low,1820,985749780
Zimbabwe,1820,1106634,890,33.7,africa,FALSE,-19,29.75,low,1820,984904260
Benin,1830,702829,628,31,africa,FALSE,9.5,2.25,low,1830,441376612
Burkina Faso,1830,1792717,486,29.2,africa,FALSE,12.5,-1.66667,low,1830,871260462
Central African Republic,1830,503090,446,30,africa,FALSE,7,21,low,1830,224378140
Chad,1830,1432000,440,30.9,africa,FALSE,15,19,low,1830,630080000
Comoros,1830,61016,718,32.1,africa,FALSE,-12.23333,44.44553,low,1830,43809488
"Congo, Dem. Rep.",1830,5520718,548,31.6,africa,FALSE,-2.5,23.5,low,1830,3025353464
Eritrea,1830,234703,547,30.2,africa,FALSE,15,39,low,1830,128382541
Ethiopia,1830,3407854,526,26,africa,FALSE,9,39.5,low,1830,1792531204
Gambia,1830,111354,828,28.8,africa,FALSE,13.5,-15.5,low,1830,92201112
Guinea,1830,1076128,461,29.81,africa,FALSE,10.83333,-10.66667,low,1830,496095008
Guinea-Bissau,1830,233367,786,32,africa,FALSE,12,-15,low,1830,183426462
Liberia,1830,340777,821,31.1,africa,FALSE,6.5,-9.5,low,1830,279777917
Madagascar,1830,1803292,603,30.5,africa,FALSE,-20,47,low,1830,1087385076
Malawi,1830,737000,351,30.3,africa,FALSE,-13.5,34,low,1830,258687000
Mali,1830,1540940,606,26.41,africa,FALSE,18,-2,low,1830,933809640
Mozambique,1830,2288209,397,30.28,africa,FALSE,-18.25,35,low,1830,908418973
Niger,1830,1312557,470,30.8,africa,FALSE,18,9,low,1830,616901790
Senegal,1830,1080873,523,25.2,africa,FALSE,14.5,-14.25,low,1830,565296579
Sierra Leone,1830,849920,772,25.1,africa,FALSE,8.5,-11.5,low,1830,656138240
Somalia,1830,1065648,714,29.4,africa,FALSE,6,48,low,1830,760872672
Tanzania,1830,3129057,579,32.2,africa,FALSE,-6,35,low,1830,1811724003
Togo,1830,487574,718,31.3,africa,FALSE,8.66667,1.08333,low,1830,350078132
Uganda,1830,2172807,488,25.3,africa,FALSE,1.25,32.5,low,1830,1060329816
Zimbabwe,1830,1167259,901,33.7,africa,FALSE,-19,29.75,low,1830,1051700359
