,name,year,population,gdp_percap,life_exp,region,oecd,g77,lat,long,income2017
1,Afghanistan,1800,3280000,603,28.21,asia,FALSE,TRUE,33,66,low
2,Albania,1800,410445,667,35.4,europe,FALSE,FALSE,41,20,upper_mid
3,Algeria,1800,2503218,715,28.82,africa,FALSE,TRUE,28,3,upper_mid
4,Andorra,1800,2654,1197,NA,europe,FALSE,FALSE,42.50779,1.52109,high
5,Angola,1800,1567028,618,26.98,africa,FALSE,TRUE,-12.5,18.5,lower_mid
6,Antigua and Barbuda,1800,37000,757,33.54,americas,FALSE,TRUE,17.05,-61.8,high
7,Argentina,1800,534000,1507,33.2,americas,FALSE,TRUE,-34,-64,upper_mid
8,Armenia,1800,413326,514,34,europe,FALSE,FALSE,40.25,45,lower_mid
9,Australia,1800,351014,814,34.05,asia,TRUE,FALSE,-25,135,high
10,Austria,1800,3205587,1847,34.4,europe,TRUE,FALSE,47.33333,13.33333,high
11,Azerbaijan,1800,879960,775,29.17,europe,FALSE,FALSE,40.5,47.5,upper_mid
12,Bahamas,1800,27350,1445,35.18,americas,FALSE,TRUE,25.04082,-77.37122,high
13,Bahrain,1800,64474,1235,30.3,asia,FALSE,TRUE,26.03333,50.55,high
14,Bangladesh,1800,19227358,876,25.5,asia,FALSE,TRUE,24,90,lower_mid
15,Barbados,1800,81729,913,32.12,americas,FALSE,TRUE,13.16667,-59.53333,high
16,Belarus,1800,2355081,608,36.2,europe,FALSE,FALSE,53,28,upper_mid
17,Belgium,1800,3138137,2411,40,europe,TRUE,FALSE,50.75,4.5,high
18,Belize,1800,25526,579,26.5,americas,FALSE,TRUE,17.49952,-88.19756,upper_mid
19,Benin,1800,636559,597,31,africa,FALSE,TRUE,9.5,2.25,low
20,Bhutan,1800,89989,629,28.8,asia,FALSE,TRUE,27.5,90.5,lower_mid
21,Bolivia,1800,1100000,854,33,americas,FALSE,TRUE,-17,-65,lower_mid
22,Bosnia and Herzegovina,1800,851806,669,35.1,europe,FALSE,TRUE,44.25,17.83333,upper_mid
23,Botswana,1800,121000,397,33.6,africa,FALSE,TRUE,-22,24,upper_mid
24,Brazil,1800,3639636,1108,32,americas,FALSE,TRUE,-10,-55,upper_mid
25,Brunei,1800,2128,1512,29.2,asia,FALSE,TRUE,4.5,114.66667,high
26,Bulgaria,1800,1992320,1088,35.8,europe,FALSE,FALSE,42.66667,25.25,upper_mid
27,Burkina Faso,1800,1665421,480,29.2,africa,FALSE,TRUE,12.5,-1.66667,low
28,Burundi,1800,899097,418,31.5,africa,FALSE,TRUE,-3.5,30,low
29,Cambodia,1800,2090000,903,35,asia,FALSE,TRUE,13,105,lower_mid
30,Cameroon,1800,1860054,626,28.75,africa,FALSE,TRUE,6,12.5,lower_mid
31,Canada,1800,645526,1313,39,americas,TRUE,FALSE,60.10867,-113.64258,high
32,Cape Verde,1800,55716,529,33.8,africa,FALSE,TRUE,16,-24,lower_mid
33,Central African Republic,1800,479444,424,30,africa,FALSE,TRUE,7,21,low
34,Chad,1800,1432000,418,30.9,africa,FALSE,TRUE,15,19,low
35,Chile,1800,771447,1026,32,americas,TRUE,TRUE,-33.45694,-70.64827,high
